Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chocolate-truffles,Chocolate Truffles,<h2>Chocolate Truffles</h2>,Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,95.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Truffles_-_Chocolate_Truffles.jpg,1,,false,,,,,,,,kg,,,active
cereal,Cereal,<h2>Cereal</h2>,Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cereal_-_Cereal_Jar.jpg,1,,false,,,,,,,,kg,,,active
cereal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cereal_-_Cereal.jpg,2,,,,,,,,,,,,,
brownies,Brownies,<h2>Brownies</h2>,Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Brownies_-_Brownies_Bites.jpg,1,,false,,,,,,,,kg,,,active
brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Brownies_-_Brownies.jpg,2,,,,,,,,,,,,,
plain-cookies,Plain Cookies,<h2>Plain Cookies</h2>,Balanced Bites,,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,75.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
lazy-cake,Lazy Cake,<h2>Lazy Cake</h2>,Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,99,deny,manual,90.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cake_-_Chocolate_Cake_-_Lazy_Cake_Bar.jpg,1,,false,,,,,,,,kg,,,active
lazy-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cake_-_Chocolate_Cake_-_Lazy_Cake_Bites.jpg,2,,,,,,,,,,,,,
chocolate-cupcake,Chocolate Cupcake,"<h2>Chocolate Cupcake</h2><h1 style=""color:#2ecc71;"">Carbs: 3g</h1>",Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cake_-_Chocolate_Cake_-_Chocolate_Cupcake.jpg,1,,false,,,,,,,,kg,,,active
peanut-butter-tart,Peanut Butter Tart,<h2>Peanut Butter Tart</h2>,Balanced Bites,Uncategorized,Dessert,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Pennut_Butter_Tart_-_Pennut_Butter_Chocolate_Tart_Bites.jpg,1,,false,,,,,,,,kg,,,active
peanut-butter-tart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Pennut_Butter_Tart_-_Pennut_Butter_Chocolate_Tart.jpg,2,,,,,,,,,,,,,
protein-jar-chocolate,Protein Jar — Chocolate,"<h2>Protein Jar — Chocolate</h2><p><strong>Ingredients:</strong> Cottage cheese, sugar-free chocolate, stevia, monk fruit, erythritol, almond flour.</p><p><strong>Serving per jar:</strong> Protein 22g | Carbs 37g | Fat 30g.</p>",Balanced Bites,Uncategorized,Dessert,"keto, protein, protein jar, chocolate",true,Title,Default Title,,,,,,,,PROTEINJARCHOCOLATE,0.0,,96,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Protein_Jars_-_Chocolate.jpg,1,Protein Jar — Chocolate,false,,,,,,,,kg,,,active
protein-jar-pistachio,Protein Jar — Pistachio,"<h2>Protein Jar — Pistachio</h2><p><strong>Ingredients:</strong> Cottage cheese, pistachio butter, stevia, monk fruit, erythritol, almond flour.</p><p><strong>Serving per jar:</strong> Protein 19g | Carbs 15g | Fat 24g.</p>",Balanced Bites,Uncategorized,Dessert,"keto, protein, protein jar, pistachio",true,Title,Default Title,,,,,,,,PROTEINJARPISTACHIO,0.0,,100,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Protein_Jars_-_Pistachio.jpg,1,Protein Jar — Pistachio,,,,,,,,,kg,,,active
protein-jar-strawberry,Protein Jar — Strawberry,"<h2>Protein Jar — Strawberry</h2><p><strong>Ingredients:</strong> Cottage cheese, strawberry, stevia, monk fruit, erythritol, almond flour.</p><p><strong>Serving per jar:</strong> Protein 13g | Carbs 10g | Fat 4g.</p>",Balanced Bites,Uncategorized,Dessert,"keto, protein, protein jar, strawberry",true,Title,Default Title,,,,,,,,PROTEINJARSTRAWBERRY,0.0,,100,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Protein_Jars_-_Strawbierries.jpg,1,Protein Jar — Strawberry,,,,,,,,,kg,,,active
protein-jar-blueberry,Protein Jar — Blueberry,"<h2>Protein Jar — Blueberry</h2><p><strong>Ingredients:</strong> Cottage cheese, blueberry, stevia, monk fruit, erythritol, almond flour.</p><p><strong>Serving per jar:</strong> Protein 15g | Carbs 8g | Fat 2.4g.</p>",Balanced Bites,Uncategorized,Dessert,"keto, protein, protein jar, blueberry",true,Title,Default Title,,,,,,,,PROTEINJARBLUEBERRY,0.0,,100,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Protein_Jars_-_Blueberries.jpg,1,Protein Jar — Blueberry,,,,,,,,,kg,,,active
